#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
300;You Should All Be Murdered;Another Sunny Day;1/1/1993;159;91;42;-9;94;4:38;0;36
301;White Rabbit;Jefferson Airplane;1967;107;29;55;-13;30;2:31;49;63
302;Spinning Away;John Cale;2008;115;87;56;-4;70;5:26;24;36
303;The Breeze;Dr. Dog;22/7/2008;90;54;61;-8;30;3:59;76;53
304;Paris 1919;John Cale;1973;107;32;74;-14;60;4:07;96;34
305;Sleep Forever;Portugal. The Man;29/6/2011;145;47;51;-8;30;6:21;37;54
306;I Love You Like A Madman;The Wave Pictures;2008;129;67;68;-3;73;3:03;29;33
307;Orange Juice;Stanley Brinks and The Wave Pictures;20/1/2014;117;72;73;-5;80;3:20;24;45
308;Girl - Remastered 2009;The Beatles;3/12/1965;97;29;70;-13;89;2:32;59;51
309;In The Backseat;Arcade Fire;2004;85;54;43;-10;23;6:20;47;39
310;Child Psychology;Black Box Recorder;6/7/1998;161;39;35;-12;16;4:08;13;36
311;Drug;The Czars;2001;110;25;50;-16;31;4:10;78;32
312;Ela Ilie Mou;Poll;1971;102;44;38;-14;54;3:24;71;5
313;Anthrope Agapa;Poll;1971;95;18;49;-15;34;3:26;82;3
314;Fistful Of Love;Antony and the Johnsons;2005;83;49;35;-8;29;5:52;54;47
315;Maria And The Violin's String;Ashram;2006;147;25;36;-11;14;2:59;98;28
316;Wasted State Of Mind;...And You Will Know Us by the Trail of Dead;14/11/2006;166;81;47;-3;40;5:26;29;22
317;Let Me Back In;Rilo Kiley;6/8/2013;120;31;48;-10;39;4:23;41;38
318;The Beauty Regime;The Divine Comedy;12/3/2001;139;25;29;-12;12;5:11;65;17
319;(David Bowie I Love You) Since I Was Six;The Brian Jonestown Massacre;9/6/2008;116;65;20;-7;33;3:24;0;40
320;Aira (The Clown Girl);Melentini;18/2/2013;142;44;57;-8;23;5:18;92;8
321;Abyss;Melentini;18/2/2013;174;27;24;-13;15;3:47;98;4
